"Date","Price","Open","High","Low","Vol.","Change %"
"04/28/2022","54.700","54.500","55.200","54.300","563.34K","0.83%"
"04/27/2022","54.250","54.900","55.450","54.100","508.03K","-0.91%"
"04/26/2022","54.750","55.000","55.500","54.550","294.53K","-1.17%"
"04/25/2022","55.400","55.200","55.500","55.000","92.76K","-1.60%"
"04/22/2022","56.300","56.000","56.750","55.450","53.17K","0.54%"
"04/21/2022","56.000","56.750","56.750","55.450","117.57K","-1.06%"
"04/20/2022","56.600","56.500","56.600","55.150","127.37K","0.00%"
"04/19/2022","56.600","55.000","56.900","55.000","238.07K","2.91%"
"04/18/2022","55.000","54.850","55.900","54.850","90.43K","-0.27%"
"04/13/2022","55.150","54.850","56.150","54.850","131.05K","0.55%"
"04/12/2022","54.850","55.700","55.700","54.750","497.63K","-0.99%"
"04/11/2022","55.400","56.000","56.000","55.100","326.72K","-1.07%"
"04/08/2022","56.000","55.300","56.200","55.300","43.12K","-0.53%"
"04/07/2022","56.300","57.450","57.450","55.000","336.38K","-2.09%"
"04/06/2022","57.500","58.000","58.150","57.450","1.11M","-0.86%"
"04/05/2022","58.000","56.500","58.000","56.400","204.79K","2.75%"
"04/04/2022","56.450","55.700","56.500","55.500","627.68K","2.64%"
"04/01/2022","55.000","56.000","56.000","55.000","1.04M","-0.99%"
"03/31/2022","55.550","55.000","56.200","55.000","1.56M","1.09%"
"03/30/2022","54.950","55.950","55.950","54.800","416.63K","-0.09%"
"03/29/2022","55.000","55.000","55.500","54.650","618.65K","0.00%"
"03/28/2022","55.000","55.000","55.500","54.800","635.64K","0.46%"
"03/25/2022","54.750","54.450","54.900","54.450","1.61M","0.55%"
"03/24/2022","54.450","55.500","55.500","54.250","417.13K","-0.91%"
"03/23/2022","54.950","55.000","55.000","54.300","203.12K","-0.09%"
"03/22/2022","55.000","55.700","55.700","54.250","114.55K","0.00%"
"03/21/2022","55.000","55.650","55.700","54.250","367.39K","1.10%"
"03/18/2022","54.400","55.200","55.700","54.400","666.25K","-1.36%"
"03/17/2022","55.150","55.850","55.850","54.750","513.47K","0.36%"
"03/16/2022","54.950","55.000","56.250","54.700","527.50K","-0.09%"
"03/15/2022","55.000","54.950","56.400","54.000","532.43K","-2.83%"
"03/14/2022","56.600","57.000","57.000","55.000","455.56K","-0.70%"
"03/11/2022","57.000","56.500","57.000","55.500","1.55M","0.00%"
"03/10/2022","57.000","54.950","57.000","54.950","327.43K","3.73%"
"03/09/2022","54.950","54.000","55.700","54.000","982.05K","1.85%"
"03/08/2022","53.950","57.000","57.000","53.800","1.60M","-5.35%"
"03/07/2022","57.000","59.800","59.800","57.000","732.89K","-1.72%"
"03/04/2022","58.000","60.000","60.000","58.000","345.44K","-3.33%"
"03/03/2022","60.000","60.200","61.000","59.500","470.58K","1.61%"
"03/02/2022","59.050","61.050","61.050","59.050","775.24K","-3.36%"
"03/01/2022","61.100","61.450","61.450","58.600","721.62K","-0.97%"
"02/28/2022","61.700","57.100","61.700","57.100","1.03M","5.29%"
"02/24/2022","58.600","58.900","59.900","56.500","1.30M","-0.34%"
"02/23/2022","58.800","59.200","59.500","58.500","516.28K","-0.08%"
"02/22/2022","58.850","59.800","59.800","58.300","385.63K","-1.51%"
"02/21/2022","59.750","61.400","61.400","58.100","397.77K","-2.13%"
"02/18/2022","61.050","60.500","61.450","60.500","1.27M","0.91%"
"02/17/2022","60.500","60.000","61.200","60.000","1.04M","1.17%"
"02/16/2022","59.800","58.700","60.450","58.700","1.31M","2.66%"
"02/15/2022","58.250","58.700","59.000","58.100","1.25M","-0.77%"
"02/14/2022","58.700","58.900","59.400","58.000","2.54M","2.62%"
"02/11/2022","57.200","56.000","60.000","56.000","24.87M","3.91%"
"02/10/2022","55.050","57.800","57.800","55.000","2.25M","-2.91%"
"02/09/2022","56.700","56.750","58.000","56.550","492.12K","-0.09%"
"02/08/2022","56.750","56.000","56.850","56.000","609.04K","1.52%"
"02/07/2022","55.900","56.000","56.450","55.600","1.32M","-3.62%"
"02/04/2022","58.000","57.500","58.500","57.500","765.43K","0.87%"
"02/03/2022","57.500","57.300","57.950","57.300","359.47K","0.52%"
"02/02/2022","57.200","57.500","57.500","56.550","1.59M","1.42%"
"01/31/2022","56.400","57.950","58.250","55.700","2.87M","-2.76%"
"01/28/2022","58.000","59.000","59.000","58.000","810.31K","-1.69%"
"01/27/2022","59.000","58.900","59.450","58.800","1.21M","1.03%"
"01/26/2022","58.400","59.000","59.500","58.050","1.41M","-1.02%"
"01/25/2022","59.000","58.450","59.950","58.350","849.13K","1.81%"
"01/24/2022","57.950","57.650","58.500","57.650","307.33K","0.52%"
"01/21/2022","57.650","57.100","57.950","57.100","337.99K","0.96%"
"01/20/2022","57.100","57.000","58.600","57.000","1.53M","0.18%"
"01/19/2022","57.000","57.800","57.800","56.550","937.28K","-1.72%"
"01/18/2022","58.000","58.500","58.550","57.250","968.61K","-0.34%"
"01/17/2022","58.200","58.500","58.500","58.200","170.90K","-0.09%"
"01/14/2022","58.250","58.700","58.850","58.250","510.13K","-0.43%"
"01/13/2022","58.500","58.200","58.750","57.750","954.06K","2.81%"
"01/12/2022","56.900","58.650","59.000","56.550","841.28K","-2.98%"
"01/11/2022","58.650","57.450","58.900","57.450","943.01K","2.80%"
"01/10/2022","57.050","55.500","57.800","55.500","988.49K","4.68%"
"01/07/2022","54.500","57.950","57.950","53.850","2.48M","-6.03%"
"01/06/2022","58.000","59.600","59.600","58.000","822.59K","-3.01%"
